benchmark_id,benchmark_name,source_author,frontier_lab_author_affiliations,legacy_task_mode,legacy_task_domain,first_date,last_date,first_providers,first_provider_count,provider_count,eligible_provider_count,provider_reach_share,total_mentions,release_count,raw_variant_count,raw_variants,provider_adoption_path,second_provider,second_provider_date,days_to_second_provider,active_span_days,time_to_50pct_mentions_days,observed_days_since_first,first_provider_is_author_affiliated,cross_provider_cascade
benchmark_mmmu_mmmu_pro,MMMU / MMMU Pro,Academia,none,Multimodal Perception,General/Commonsense,2023-12-06,2026-04-23,Google,1,3,3,1.0,25,25,2,MMMU / MMMU Pro; MMMU Pro,Google (2023-12-06) -> Anthropic (2024-03-04) -> OpenAI (2024-05-13),Anthropic,2024-03-04,89,869,534,869,False,True
benchmark_swe_bench_verified,SWE-bench verified,OpenAI,OpenAI,Agentic,Coding/Engineering,2024-10-23,2026-04-16,Anthropic,1,3,3,1.0,18,18,2,SWE-bench Verified; SWE-bench verified,Anthropic (2024-10-23) -> OpenAI (2025-01-31) -> Google (2025-03-25),OpenAI,2025-01-31,100,540,288,547,False,True
benchmark_aime,AIME,Academia,none,Generative Reasoning,STEM/Math,2024-09-12,2025-11-18,OpenAI,1,3,3,1.0,15,15,1,AIME,OpenAI (2024-09-12) -> Anthropic (2024-10-23) -> Google (2025-03-25),Anthropic,2024-10-23,41,432,214,588,False,True
benchmark_gpqa,GPQA,"Anthropic, Academia, Cohere",none,Generative Reasoning,STEM/Math,2024-03-04,2025-12-11,Anthropic,1,3,3,1.0,14,14,1,GPQA,Anthropic (2024-03-04) -> OpenAI (2024-05-13) -> Google (2024-12-11),OpenAI,2024-05-13,70,647,333,780,True,True
benchmark_gpqa_diamond,GPQA Diamond,"Anthropic, Academia, Others(Cohere)",none,Generative Reasoning,STEM/Math,2024-10-23,2026-04-23,Anthropic,1,3,3,1.0,13,13,1,GPQA Diamond,Anthropic (2024-10-23) -> Google (2026-02-19) -> OpenAI (2026-03-05),Google,2026-02-19,484,547,397,547,True,True
benchmark_mmmlu,MMMLU,OpenAI,OpenAI,Generative Reasoning,General/Commonsense,2025-02-25,2026-04-16,Anthropic,1,3,3,1.0,13,13,1,MMMLU,Anthropic (2025-02-25) -> OpenAI (2025-02-27) -> Google (2025-11-18),OpenAI,2025-02-27,2,415,266,422,False,True
benchmark_hle_humanity_s_last_exam,HLE (Humanity's Last Exam),"Academia, Others(CAIS; Scale AI)",OpenAI; Anthropic; Google; DeepMind; Microsoft,Generative Reasoning,Specialized (Law/Bio/Finance),2025-03-25,2026-04-23,Google,1,3,3,1.0,11,11,2,HLE (Humanity's Last Exam); Humanity's Last Exam,Google (2025-03-25) -> OpenAI (2025-04-16) -> Anthropic (2026-02-05),OpenAI,2025-04-16,22,394,317,394,True,True
benchmark_mmlu_mmlu_pro,MMLU / MMLU-Pro,Academia,none,Generative Reasoning,General/Commonsense,2023-12-06,2025-04-14,Google,1,3,3,1.0,10,10,1,MMLU / MMLU-Pro,Google (2023-12-06) -> Anthropic (2024-03-04) -> OpenAI (2024-05-13),Anthropic,2024-03-04,89,495,281,869,False,True
benchmark_tau_2_bench,TAU-2 bench,Academia,none,Agentic,General/Commonsense,2025-08-07,2026-04-23,OpenAI,1,3,3,1.0,10,10,2,TAU-2 bench; Tau2-bench Telecom,OpenAI (2025-08-07) -> Anthropic (2025-09-30) -> Google (2025-11-18),Anthropic,2025-09-30,54,259,109,259,False,True
benchmark_math,MATH,Academia,none,Generative Reasoning,STEM/Math,2023-12-06,2025-01-31,Google,1,3,3,1.0,9,9,1,MATH,Google (2023-12-06) -> Anthropic (2024-03-04) -> OpenAI (2024-05-13),Anthropic,2024-03-04,89,422,281,869,False,True
benchmark_browsecomp,BrowseComp,OpenAI,OpenAI,Agentic,General/Commonsense,2025-04-16,2026-04-23,OpenAI,1,3,3,1.0,7,7,1,BrowseComp,OpenAI (2025-04-16) -> Anthropic (2026-02-05) -> Google (2026-02-19),Anthropic,2026-02-05,295,372,309,372,True,True
benchmark_humaneval,HumanEval,OpenAI,OpenAI,Generative Reasoning,Coding/Engineering,2023-07-11,2024-10-23,Anthropic,1,3,3,1.0,7,7,1,HumanEval,Anthropic (2023-07-11) -> Google (2023-12-06) -> OpenAI (2024-05-13),Google,2023-12-06,148,470,307,1017,False,True
benchmark_mathvista,MathVista,Academia,Microsoft,Multimodal Perception,STEM/Math,2023-12-06,2025-04-16,Google,1,3,3,1.0,7,7,1,MathVista,Google (2023-12-06) -> Anthropic (2024-03-04) -> OpenAI (2024-05-13),Anthropic,2024-03-04,89,497,198,869,False,True
benchmark_scale_mcp_atlas,Scale MCP-Atlas,Others(Scale AI),none,Agentic,General/Commonsense,2025-11-24,2026-04-23,Anthropic,1,3,3,1.0,7,7,3,MCP Atlas; MCP-Atlas; Scale MCP-Atlas,Anthropic (2025-11-24) -> OpenAI (2025-12-11) -> Google (2026-02-19),OpenAI,2025-12-11,17,150,87,150,False,True
benchmark_terminal_bench_2_0,Terminal-Bench 2.0,Academia,Anthropic,Agentic,Coding/Engineering,2025-11-18,2026-04-23,Google,1,3,3,1.0,7,7,1,Terminal-Bench 2.0,Google (2025-11-18) -> Anthropic (2025-11-24) -> OpenAI (2026-02-05),Anthropic,2025-11-24,6,156,93,156,False,True
benchmark_mrcr_v2,MRCR v2,OpenAI,Google; DeepMind,Generative Reasoning,General/Commonsense,2025-12-11,2026-04-23,OpenAI,1,3,3,1.0,6,6,2,MRCR v2; OpenAI MRCR v2,OpenAI (2025-12-11) -> Anthropic (2026-02-05) -> Google (2026-02-19),Anthropic,2026-02-05,56,133,70,133,True,True
benchmark_swe_bench_pro,SWE-bench Pro,Others(Scale AI),none,Agentic,Coding/Engineering,2025-12-11,2026-04-23,OpenAI,1,3,3,1.0,6,6,2,SWE-Bench Pro (Public); SWE-bench Pro,OpenAI (2025-12-11) -> Google (2026-02-19) -> Anthropic (2026-04-16),Google,2026-02-19,70,133,70,133,False,True
benchmark_arc_agi,ARC-AGI,Academia,none,Generative Reasoning,STEM/Math,2024-03-04,2026-04-23,Anthropic,1,3,3,1.0,5,5,2,ARC-AGI; ARC-AGI-1 (Verified),Anthropic (2024-03-04) -> Google (2025-11-18) -> OpenAI (2025-12-11),Google,2025-11-18,624,780,647,780,False,True
benchmark_arc_agi_2,ARC-AGI-2,Academia,none,Generative Reasoning,General/Commonsense,2025-11-24,2026-04-23,Anthropic,1,3,3,1.0,5,5,2,ARC-AGI-2; ARC-AGI-2 (Verified),Anthropic (2025-11-24) -> Google (2026-02-19) -> OpenAI (2026-03-05),Google,2026-02-19,87,150,87,150,False,True
benchmark_aider_polyglot,Aider Polyglot,Others(Aider),none,Generative Reasoning,Coding/Engineering,2025-03-25,2025-11-24,Google,1,3,3,1.0,5,5,1,Aider Polyglot,Google (2025-03-25) -> OpenAI (2025-04-14) -> Anthropic (2025-11-24),OpenAI,2025-04-14,20,244,22,394,False,True
benchmark_drop,DROP,Academia,none,Generative Reasoning,General/Commonsense,2023-12-06,2024-06-21,Google,1,3,3,1.0,4,4,1,DROP,Google (2023-12-06) -> Anthropic (2024-03-04) -> OpenAI (2024-05-13),Anthropic,2024-03-04,89,198,89,869,False,True
benchmark_docvqa,DocVQA,Academia,none,Multimodal Perception,General/Commonsense,2023-12-06,2024-06-21,Google,1,3,3,1.0,4,4,1,DocVQA,Google (2023-12-06) -> Anthropic (2024-03-04) -> OpenAI (2024-05-13),Anthropic,2024-03-04,89,198,89,869,False,True
benchmark_gdpval_aa,GDPval-AA,Others(Artificial Analysis),none,Agentic,Specialized (Law/Bio/Finance),2026-02-05,2026-04-23,Anthropic,1,3,3,1.0,4,4,1,GDPval-AA,Anthropic (2026-02-05) -> Google (2026-02-19) -> OpenAI (2026-04-23),Google,2026-02-19,14,77,14,77,False,True
benchmark_needle_in_a_haystack,Needle In A Haystack,"Academia, Others(Microsoft)",none,Generative Reasoning,General/Commonsense,2024-02-15,2025-04-14,Google,1,3,3,1.0,3,3,1,Needle In A Haystack,Google (2024-02-15) -> Anthropic (2024-03-04) -> OpenAI (2025-04-14),Anthropic,2024-03-04,18,424,18,798,False,True
benchmark_screenspot_pro,ScreenSpot-Pro,Academia,none,Multimodal Perception,General/Commonsense,2025-11-18,2026-04-16,Google,1,3,3,1.0,3,3,1,ScreenSpot-Pro,Google (2025-11-18) -> OpenAI (2025-12-11) -> Anthropic (2026-04-16),OpenAI,2025-12-11,23,149,23,156,False,True
benchmark_graphwalks,GraphWalks,OpenAI,OpenAI,Generative Reasoning,STEM/Math,2025-04-14,2026-04-23,OpenAI,1,2,3,0.6666666666666666,6,6,2,GraphWalks; Graphwalks,OpenAI (2025-04-14) -> Anthropic (2026-02-05),Anthropic,2026-02-05,297,374,297,374,True,True
benchmark_tau_bench,Tau-bench,Academia,none,Agentic,General/Commonsense,2024-10-23,2025-08-05,Anthropic,1,2,3,0.6666666666666666,6,6,1,Tau-bench,Anthropic (2024-10-23) -> OpenAI (2025-04-14),OpenAI,2025-04-14,173,286,173,547,False,True
benchmark_charxiv,CharXiv,Academia,none,Multimodal Perception,STEM/Math,2025-04-14,2025-12-11,OpenAI,1,2,3,0.6666666666666666,5,5,1,CharXiv,OpenAI (2025-04-14) -> Google (2025-11-18),Google,2025-11-18,218,241,115,374,False,True
benchmark_biglaw_bench,BigLaw Bench,Others(Harvey),none,Generative Reasoning,Specialized (Law/Bio/Finance),2026-02-05,2026-04-23,Anthropic,1,2,3,0.6666666666666666,4,4,1,BigLaw Bench,Anthropic (2026-02-05) -> OpenAI (2026-03-05),OpenAI,2026-03-05,28,77,28,77,False,True
benchmark_gsm8k,GSM8K,OpenAI,OpenAI,Generative Reasoning,STEM/Math,2023-07-11,2024-06-21,Anthropic,1,2,3,0.6666666666666666,4,4,1,GSM8K,Anthropic (2023-07-11) -> Google (2023-12-06),Google,2023-12-06,148,346,148,1017,False,True
benchmark_mgsm,MGSM,"Google, Academia",Google,Generative Reasoning,STEM/Math,2024-03-04,2025-01-31,Anthropic,1,2,3,0.6666666666666666,4,4,1,MGSM,Anthropic (2024-03-04) -> OpenAI (2024-05-13),OpenAI,2024-05-13,70,333,70,780,False,True
benchmark_mrcr,MRCR,OpenAI,Google; DeepMind,Generative Reasoning,General/Commonsense,2024-12-11,2025-11-18,Google,1,2,3,0.6666666666666666,4,4,1,MRCR,Google (2024-12-11) -> OpenAI (2025-04-14),OpenAI,2025-04-14,124,342,104,498,True,True
benchmark_osworld_verified,OSWorld-Verified,Academia,none,Agentic,General/Commonsense,2026-02-05,2026-04-23,OpenAI,1,2,3,0.6666666666666666,4,4,1,OSWorld-Verified,OpenAI (2026-02-05) -> Anthropic (2026-04-16),Anthropic,2026-04-16,70,77,28,77,False,True
benchmark_simpleqa,SimpleQA,OpenAI,OpenAI,Knowledge Retrieval,General/Commonsense,2025-01-31,2025-11-18,OpenAI,1,2,3,0.6666666666666666,4,4,1,SimpleQA,OpenAI (2025-01-31) -> Google (2025-03-25),Google,2025-03-25,53,291,27,447,True,True
benchmark_video_mmmu,Video-MMMU,Academia,none,Multimodal Perception,General/Commonsense,2025-08-07,2026-03-03,OpenAI,1,2,3,0.6666666666666666,4,4,1,Video-MMMU,OpenAI (2025-08-07) -> Google (2025-11-18),Google,2025-11-18,103,208,103,259,False,True
benchmark_ai2d,AI2D,Academia,none,Multimodal Perception,General/Commonsense,2024-03-04,2024-06-21,Anthropic,1,2,3,0.6666666666666666,3,3,1,AI2D,Anthropic (2024-03-04) -> OpenAI (2024-05-13),OpenAI,2024-05-13,70,109,70,780,False,True
benchmark_big_bench_hard,Big-Bench Hard,Google,Google,Generative Reasoning,General/Commonsense,2023-12-06,2024-06-21,Google,1,2,3,0.6666666666666666,3,3,1,Big-Bench Hard,Google (2023-12-06) -> Anthropic (2024-03-04),Anthropic,2024-03-04,89,198,89,869,True,True
benchmark_chartqa,ChartQA,Academia,none,Multimodal Perception,STEM/Math,2024-03-04,2024-06-21,Anthropic,1,2,3,0.6666666666666666,3,3,1,ChartQA,Anthropic (2024-03-04) -> OpenAI (2024-05-13),OpenAI,2024-05-13,70,109,70,780,False,True
