benchmark_id,benchmark_name,source_author,frontier_lab_author_affiliations,legacy_task_mode,legacy_task_domain,first_date,last_date,first_providers,first_provider_count,provider_count,eligible_provider_count,provider_reach_share,total_mentions,release_count,raw_variant_count,raw_variants,provider_adoption_path,second_provider,second_provider_date,days_to_second_provider,active_span_days,time_to_50pct_mentions_days,observed_days_since_first,first_provider_is_author_affiliated,cross_provider_cascade
benchmark_covost_2,CoVoST 2,Meta,none,Multimodal Perception,General/Commonsense,2023-12-06,2024-12-11,Google,1,1,3,0.3333333333333333,2,2,1,CoVoST 2,Google (2023-12-06),,,,371,0,869,False,False
benchmark_cybersecurity_ctfs,Cybersecurity CTFs,Academia,none,Generative Reasoning,Coding/Engineering,2024-09-12,2026-02-05,OpenAI,1,1,3,0.3333333333333333,2,2,2,Cybersecurity CTFs; Cybersecurity Capture The Flag Challenges,OpenAI (2024-09-12),,,,511,0,588,False,False
benchmark_facts_benchmark_suite,FACTS Benchmark suite,Google,Google; DeepMind,Knowledge Retrieval,General/Commonsense,2025-11-18,2026-03-03,Google,1,1,3,0.3333333333333333,2,2,1,FACTS Benchmark suite,Google (2025-11-18),,,,105,0,156,True,False
benchmark_finance_agent,Finance Agent,"Academia, Others(vals.ai)",none,Agentic,Specialized (Law/Bio/Finance),2025-09-30,2026-02-05,Anthropic,1,1,3,0.3333333333333333,2,2,1,Finance Agent,Anthropic (2025-09-30),,,,128,0,205,False,False
benchmark_hmmt,HMMT,Academia,none,Generative Reasoning,STEM/Math,2025-08-07,2025-12-11,OpenAI,1,1,3,0.3333333333333333,2,2,1,HMMT,OpenAI (2025-08-07),,,,126,0,259,False,False
benchmark_investment_banking_modeling_tasks_internal,Investment Banking Modeling Tasks (Internal),OpenAI,OpenAI,Generative Reasoning,Specialized (Law/Bio/Finance),2026-03-05,2026-04-23,OpenAI,1,1,2,0.5,2,2,1,Investment Banking Modeling Tasks (Internal),OpenAI (2026-03-05),,,,49,0,49,True,False
benchmark_lmarena,LMArena,Academia,none,Generative Reasoning,General/Commonsense,2025-11-18,2026-03-03,Google,1,1,3,0.3333333333333333,2,2,1,LMArena,Google (2025-11-18),,,,105,0,156,False,False
benchmark_natural2code,Natural2Code,Google,Google; DeepMind,Generative Reasoning,Coding/Engineering,2023-12-06,2024-12-11,Google,1,1,3,0.3333333333333333,2,2,1,Natural2Code,Google (2023-12-06),,,,371,0,869,True,False
benchmark_vibe_eval,Vibe-Eval,Others(Reka AI),none,Multimodal Perception,General/Commonsense,2024-12-11,2025-03-25,Google,1,1,3,0.3333333333333333,2,2,1,Vibe-Eval,Google (2024-12-11),,,,104,0,498,False,False
benchmark_automated_behavioral_audit,automated behavioral audit,Anthropic,Anthropic,Constraint Satisfaction,General/Commonsense,2026-04-16,2026-04-16,Anthropic,1,1,2,0.5,2,1,2,Misaligned behavior; automated behavioral audit,Anthropic (2026-04-16),,,,0,0,7,True,False
