date,provider_pair,left_provider,right_provider,left_portfolio_size,right_portfolio_size,intersection_size,union_size,jaccard_similarity
2026-04-16,Google - OpenAI,Google,OpenAI,59,72,30,101,0.297029702970297
2026-04-23,Anthropic - Google,Anthropic,Google,63,59,30,92,0.32608695652173914
2026-04-23,Anthropic - OpenAI,Anthropic,OpenAI,63,87,38,112,0.3392857142857143
2026-04-23,Google - OpenAI,Google,OpenAI,59,87,32,114,0.2807017543859649
2026-05-19,Anthropic - Google,Anthropic,Google,63,66,32,97,0.32989690721649484
2026-05-19,Anthropic - OpenAI,Anthropic,OpenAI,63,87,38,112,0.3392857142857143
2026-05-19,Google - OpenAI,Google,OpenAI,66,87,36,117,0.3076923076923077
2026-05-28,Anthropic - Google,Anthropic,Google,68,66,34,100,0.34
2026-05-28,Anthropic - OpenAI,Anthropic,OpenAI,68,87,39,116,0.33620689655172414
2026-05-28,Google - OpenAI,Google,OpenAI,66,87,36,117,0.3076923076923077
2026-06-09,Anthropic - Google,Anthropic,Google,85,66,35,116,0.3017241379310345
2026-06-09,Anthropic - OpenAI,Anthropic,OpenAI,85,87,39,133,0.2932330827067669
2026-06-09,Google - OpenAI,Google,OpenAI,66,87,36,117,0.3076923076923077
2026-06-30,Anthropic - Google,Anthropic,Google,88,66,35,119,0.29411764705882354
2026-06-30,Anthropic - OpenAI,Anthropic,OpenAI,88,87,39,136,0.2867647058823529
2026-06-30,Google - OpenAI,Google,OpenAI,66,87,36,117,0.3076923076923077
2026-07-09,Anthropic - Google,Anthropic,Google,88,66,35,119,0.29411764705882354
2026-07-09,Anthropic - OpenAI,Anthropic,OpenAI,88,120,45,163,0.27607361963190186
2026-07-09,Google - OpenAI,Google,OpenAI,66,120,37,149,0.2483221476510067
2026-07-21,Anthropic - Google,Anthropic,Google,88,72,37,123,0.3008130081300813
2026-07-21,Anthropic - OpenAI,Anthropic,OpenAI,88,120,45,163,0.27607361963190186
2026-07-21,Google - OpenAI,Google,OpenAI,72,120,40,152,0.2631578947368421
2026-07-24,Anthropic - Google,Anthropic,Google,100,72,38,134,0.2835820895522388
2026-07-24,Anthropic - OpenAI,Anthropic,OpenAI,100,120,49,171,0.28654970760233917
2026-07-24,Google - OpenAI,Google,OpenAI,72,120,40,152,0.2631578947368421
