provider,period,release_weight_total,raw_mentions,broad_long_context_weight,primary_long_context_weight,benchmarked_releases,broad_long_context_share,primary_long_context_share
Anthropic,2024,3.0,38.0,0.1736111111111111,0.0625,3,0.05787037037037037,0.020833333333333332
Anthropic,2025-2026,12.0,170.0,1.6284060384060384,0.12857142857142856,12,0.1357005032005032,0.010714285714285713
Google,2024,2.0,16.0,0.7857142857142856,0.7142857142857142,2,0.3928571428571428,0.3571428571428571
Google,2025-2026,8.0,85.0,1.4411796536796537,0.5724567099567099,8,0.18014745670995672,0.07155708874458874
OpenAI,2024,3.0,30.0,0.07142857142857142,0.07142857142857142,3,0.023809523809523808,0.023809523809523808
OpenAI,2025-2026,10.0,194.0,2.331720111673672,0.5206721555018768,10,0.2331720111673672,0.05206721555018769
