source_domain,target_interaction,weight,mean_confidence,accepted_pair_share,raw_mentions,share
Bio/Medicine,static_prompt_response,1.335935618259385,0.83125,0.0,64,0.05808415731562543
Bio/Medicine,multi_step_planning,0.0340095525389643,0.626,0.0,5,0.001478676197346274
Bio/Medicine,multi_turn_dialogue,0.03125,0.915,0.0,1,0.001358695652173913
Bio/Medicine,environment_interaction,0.007936507936507936,0.64,0.0,1,0.0003450655624568668
Bio/Medicine,terminal_or_codebase_interaction,0.007936507936507936,0.605,0.0,1,0.0003450655624568668
Coding/Engineering,environment_interaction,3.0313934088216583,0.7494811320754716,0.0,106,0.13179971342702862
Coding/Engineering,terminal_or_codebase_interaction,1.921527525399086,0.7955263157894737,0.0,76,0.08354467501735156
Coding/Engineering,multi_step_planning,1.2036189977751883,0.771219512195122,0.0,82,0.05233126077283427
Coding/Engineering,static_prompt_response,0.5632649460227733,0.7732432432432432,0.0,37,0.02448978026185971
Coding/Engineering,computer_control,0.2233403190868798,0.7571428571428571,0.0,28,0.009710448655951295
Coding/Engineering,browser_or_web_interaction,0.10855434835036352,0.6103333333333333,0.0,15,0.004719754276102762
Coding/Engineering,single_turn_tool_use,0.003676470588235294,0.54,0.0,1,0.000159846547314578
Finance,single_turn_tool_use,0.16233766233766234,0.6499999999999999,0.0,2,0.007058159232072275
Finance,static_prompt_response,0.13394634776987718,0.6457142857142857,0.0,7,0.005823754250864226
Finance,multi_step_planning,0.1315319086002198,0.765,0.0,13,0.005718778634792165
Finance,environment_interaction,0.12926838780728725,0.7834999999999999,0.0,10,0.005620364687273359
Finance,browser_or_web_interaction,0.09691185545075488,0.6956249999999999,0.0,8,0.004213558932641517
Finance,multi_turn_dialogue,0.019171688526527238,0.6375,0.0,4,0.0008335516750664016
General/Commonsense,static_prompt_response,2.0636055755422453,0.7549230769230769,0.0,65,0.08972198154531501
General/Commonsense,environment_interaction,0.9694919240222846,0.7027868852459016,0.0,61,0.04215182278357759
General/Commonsense,multi_step_planning,0.7016382774316835,0.6528688524590165,0.0,61,0.03050601206224711
General/Commonsense,browser_or_web_interaction,0.35112934442393645,0.7545454545454545,0.0,33,0.015266493235823323
General/Commonsense,computer_control,0.21232557712159228,0.8563157894736841,0.0,19,0.009231546831373578
General/Commonsense,single_turn_tool_use,0.13913747674421298,0.40076923076923077,0.0,13,0.0060494555106179555
General/Commonsense,multi_turn_dialogue,0.12856923542407414,0.73125,0.0,8,0.005589966757568441
General/Commonsense,terminal_or_codebase_interaction,0.024043549043549044,0.6699999999999999,0.0,4,0.0010453716975456107
General/Commonsense,Other,0.023088023088023088,0.925,0.0,2,0.0010038270907836125
Law,static_prompt_response,0.30495622349749485,0.7783333333333333,0.0,18,0.013258966239021515
Law,environment_interaction,0.1111111111111111,0.6,0.0,1,0.004830917874396135
Law,multi_step_planning,0.026073044602456366,0.61,0.0,4,0.0011336106348894073
Other,static_prompt_response,0.22107060353028093,0.8653333333333333,0.0,15,0.00961176537088178
Other,environment_interaction,0.16248731792137863,0.8696153846153846,0.0,13,0.0070646659965816795
Other,multi_step_planning,0.16248731792137863,0.8373076923076923,0.0,13,0.0070646659965816795
Other,terminal_or_codebase_interaction,0.16248731792137863,0.8692307692307693,0.0,13,0.0070646659965816795
Other,Other,0.023088023088023088,0.71,0.0,2,0.0010038270907836125
Other,multi_turn_dialogue,0.023088023088023088,0.635,0.0,2,0.0010038270907836125
Other Specialized,environment_interaction,1.5684238268364217,0.677421875,0.0,64,0.06819234029723573
Other Specialized,static_prompt_response,1.2360643232303574,0.7855405405405405,0.0,74,0.053741927096972064
Other Specialized,multi_step_planning,0.735684003277101,0.652421875,0.0,64,0.03198626101204787
Other Specialized,multi_turn_dialogue,0.26002974114928573,0.7780000000000001,0.0,15,0.011305640919534163
Other Specialized,computer_control,0.12119622714677268,0.5817857142857142,0.0,14,0.005269401180294464
Other Specialized,terminal_or_codebase_interaction,0.11478597073651628,0.6984615384615385,0.0,13,0.004990694379848534
Other Specialized,single_turn_tool_use,0.07177681453060959,0.49222222222222217,0.0,9,0.0031207310665482433
Other Specialized,browser_or_web_interaction,0.03282794714246327,0.5783333333333333,0.0,6,0.001427302049672316
STEM/Math,static_prompt_response,2.4231734834407983,0.8735869565217392,0.0,92,0.1053553688452521
STEM/Math,multi_step_planning,0.0783679259545009,0.72625,0.0,8,0.0034073011284565607
STEM/Math,terminal_or_codebase_interaction,0.015625,0.5650000000000001,0.0,1,0.0006793478260869565
Visual/Document,static_prompt_response,0.898275854232211,0.8168085106382978,0.0,47,0.03905547192313961
Visual/Document,environment_interaction,0.12247770098339358,0.7555882352941176,0.0,17,0.00532511743406059
Visual/Document,multi_step_planning,0.12247770098339358,0.7194117647058824,0.0,17,0.00532511743406059
Visual/Document,computer_control,0.11015691245292764,0.7759999999999999,0.0,15,0.004789430976214245
Visual/Document,browser_or_web_interaction,0.10374665604267122,0.6257142857142857,0.0,14,0.004510724175768314
Visual/Document,terminal_or_codebase_interaction,0.029419893129570548,0.6420000000000001,0.0,5,0.0012791257882421977
