year,is_static_exam_share,is_work_simulation_share,is_multimodal_or_ui_share,is_specialized_domain_share,release_pages_with_benchmarks
2023,0.8240740740740741,0.12037037037037036,0.16666666666666666,0.5370370370370371,3
2024,0.7071504884004883,0.1801262973137973,0.3325511294261294,0.2797142094017094,8
2025,0.543594865869302,0.390540093782575,0.24782147676884517,0.48685482750332376,14
2026,0.16030750245724945,0.7347735163026118,0.2626608750375354,0.42393393856945405,18
