Provider,headline_task_mode,weighted_mentions,raw_mentions,releases,share,global_weighted_mentions,global_share,lift_vs_global
Anthropic,Constraint Satisfaction,1.048502698018827,12,9,0.06553141862617669,2.261004326077731,0.05514644697750563,1.1883162418950965
Anthropic,Agentic,7.669452876872231,113,13,0.47934080480451446,17.07980940630771,0.41658071722701734,1.15065528715602
Anthropic,Generative Reasoning,4.3820794438536375,48,14,0.27387996524085234,10.520738596018981,0.25660338039070685,1.0673279705974255
Anthropic,Multimodal Perception,2.7099688215010795,35,16,0.16937305134381747,8.573504464564586,0.20910986498938014,0.8099715972387016
Anthropic,Knowledge Retrieval,0.18999615975422426,4,3,0.011874759984639017,2.5649432070309928,0.06255959041539007,0.18981518110639273
Google,Knowledge Retrieval,1.5252705627705627,13,8,0.13866096025186933,2.5649432070309928,0.06255959041539007,2.2164620856877897
Google,Multimodal Perception,2.902362914862915,37,8,0.2638511740784468,8.573504464564586,0.20910986498938014,1.2617825280115158
Google,Agentic,4.4444805194805195,39,9,0.4040436835891381,17.07980940630771,0.41658071722701734,0.9699049112946648
Google,Generative Reasoning,1.7998737373737375,25,8,0.16362488521579432,10.520738596018981,0.25660338039070685,0.6376567797612699
Google,Constraint Satisfaction,0.3280122655122655,5,5,0.029819296864751408,2.261004326077731,0.05514644697750563,0.5407292491013025
OpenAI,Generative Reasoning,4.338785414791607,56,13,0.3099132439136862,10.520738596018981,0.25660338039070685,1.2077519923619449
OpenAI,Constraint Satisfaction,0.8844893625466381,13,8,0.06317781161047416,2.261004326077731,0.05514644697750563,1.1456370278260093
OpenAI,Multimodal Perception,2.9611727282005917,43,11,0.2115123377286137,8.573504464564586,0.20910986498938014,1.0114890454324361
OpenAI,Knowledge Retrieval,0.8496764845062058,16,8,0.06069117746472898,2.5649432070309928,0.06255959041539007,0.9701338685522877
OpenAI,Agentic,4.9658760099549575,98,12,0.354705429282497,17.07980940630771,0.41658071722701734,0.8514686700901685
