Provider,release_pages_with_benchmarks,weighted_mentions,provider_created_or_private_weighted_mentions,provider_created_or_private_raw_mentions,private_or_opaque_weighted_mentions,private_or_opaque_raw_mentions,provider_created_benchmark_weighted_mentions,provider_created_benchmark_raw_mentions,explicit_internal_named_weighted_mentions,explicit_internal_named_raw_mentions,nonzero_lifecycle_risk_weighted_mentions,nonzero_lifecycle_risk_raw_mentions,provider_created_or_private_share,private_or_opaque_share,provider_created_benchmark_share,explicit_internal_named_share,nonzero_lifecycle_risk_share
OpenAI,15,15.0,6.084546696853199,93,3.6459244573795657,56,3.647946880261122,63,0.26955397543632836,10,14.479745744451627,210,0.4056364464568799,0.24306163049197105,0.2431964586840748,0.017970265029088557,0.9653163829634418
Anthropic,16,16.0,5.539149479552705,77,2.335639199510167,37,4.282195609050448,60,0.1597542242703533,4,14.163982683982685,179,0.3461968424720441,0.14597744996938544,0.267637225565653,0.009984639016897081,0.8852489177489178
Google,12,12.0,2.875306637806638,31,1.0432900432900434,14,2.4427308802308803,24,0.0,0,10.164285714285715,116,0.23960888648388648,0.08694083694083694,0.20356090668590668,0.0,0.8470238095238095
