provider,period,facet_axis,facet_label,weighted_mentions,raw_mention_count,period_weight_denominator,share
OpenAI,2025,interaction_pattern,static_prompt_response,4.136425745307324,64,6.0,0.689404290884554
OpenAI,2025,interaction_pattern,multi_step_planning,0.5673025804604752,26,6.0,0.09455043007674586
OpenAI,2025,interaction_pattern,environment_interaction,0.4734429313376682,22,6.0,0.0789071552229447
OpenAI,2025,interaction_pattern,terminal_or_codebase_interaction,0.42148764977712344,16,6.0,0.07024794162952057
OpenAI,2025,interaction_pattern,multi_turn_dialogue,0.3039895411605938,8,6.0,0.05066492352676563
OpenAI,2025,interaction_pattern,single_turn_tool_use,0.05087719298245614,3,6.0,0.00847953216374269
OpenAI,2025,interaction_pattern,browser_or_web_interaction,0.046474358974358976,2,6.0,0.007745726495726496
OpenAI,2025,modality,text,4.141535036600826,85,6.0,0.6902558394334709
OpenAI,2025,modality,code,0.5622127141863984,16,6.0,0.0937021190310664
OpenAI,2025,modality,multimodal_mixed,0.33031376518218625,18,6.0,0.05505229419703104
OpenAI,2025,modality,image,0.3263115721997301,17,6.0,0.054385262033288355
OpenAI,2025,modality,tool_api,0.2993730319388214,10,6.0,0.049895505323136906
OpenAI,2025,modality,document_layout,0.18769399460188935,10,6.0,0.031282332433648224
OpenAI,2025,modality,video,0.0612938596491228,4,6.0,0.010215643274853801
OpenAI,2025,modality,browser_ui,0.046474358974358976,2,6.0,0.007745726495726496
OpenAI,2025,modality,audio,0.028125,2,6.0,0.0046875
OpenAI,2025,modality,desktop_ui,0.016666666666666666,1,6.0,0.002777777777777778
Google,2025,context_pressure,short,1.2,18,2.0,0.6
Google,2025,context_pressure,medium,0.3857142857142857,8,2.0,0.19285714285714284
Google,2025,context_pressure,long_context_supporting,0.26666666666666666,5,2.0,0.13333333333333333
Google,2025,context_pressure,long_context_primary,0.14761904761904762,2,2.0,0.07380952380952381
Google,2025,domain,STEM/Math,0.4688095238095238,15,2.0,0.2344047619047619
Google,2025,domain,General/Commonsense,0.45634920634920634,11,2.0,0.22817460317460317
Google,2025,domain,Coding/Engineering,0.33666666666666667,9,2.0,0.16833333333333333
Google,2025,domain,Other Specialized,0.2211904761904762,11,2.0,0.1105952380952381
Google,2025,domain,Visual/Document,0.20373015873015873,9,2.0,0.10186507936507937
Google,2025,domain,Bio/Medicine,0.1600793650793651,8,2.0,0.08003968253968255
Google,2025,domain,Multilingual,0.12936507936507935,5,2.0,0.06468253968253967
Google,2025,domain,Finance,0.015873015873015872,1,2.0,0.007936507936507936
Google,2025,domain,Law,0.007936507936507936,1,2.0,0.003968253968253968
Google,2025,headline_task_mode,Multimodal Perception,0.6333333333333333,10,2.0,0.31666666666666665
Google,2025,headline_task_mode,Generative Reasoning,0.5380952380952381,8,2.0,0.26904761904761904
Google,2025,headline_task_mode,Agentic,0.4857142857142857,8,2.0,0.24285714285714285
Google,2025,headline_task_mode,Knowledge Retrieval,0.29523809523809524,4,2.0,0.14761904761904762
Google,2025,headline_task_mode,Constraint Satisfaction,0.047619047619047616,1,2.0,0.023809523809523808
Google,2025,interaction_pattern,static_prompt_response,1.5777777777777777,25,2.0,0.7888888888888889
Google,2025,interaction_pattern,environment_interaction,0.12222222222222222,6,2.0,0.06111111111111111
Google,2025,interaction_pattern,multi_step_planning,0.12222222222222222,6,2.0,0.06111111111111111
Google,2025,interaction_pattern,terminal_or_codebase_interaction,0.09444444444444444,4,2.0,0.04722222222222222
Google,2025,interaction_pattern,multi_turn_dialogue,0.04365079365079365,3,2.0,0.021825396825396824
Google,2025,interaction_pattern,human_in_the_loop,0.015873015873015872,1,2.0,0.007936507936507936
Google,2025,interaction_pattern,browser_or_web_interaction,0.011904761904761904,1,2.0,0.005952380952380952
Google,2025,interaction_pattern,computer_control,0.011904761904761904,1,2.0,0.005952380952380952
Google,2025,modality,text,1.2805555555555554,31,2.0,0.6402777777777777
Google,2025,modality,code,0.2134920634920635,6,2.0,0.10674603174603176
Google,2025,modality,image,0.1869047619047619,9,2.0,0.09345238095238095
Google,2025,modality,multimodal_mixed,0.14325396825396824,7,2.0,0.07162698412698412
