provider,period,facet_axis,facet_label,weighted_mentions,raw_mention_count,period_weight_denominator,share
OpenAI,2025-2026,interaction_pattern,computer_control,0.26073044602456363,4,9.0,0.028970049558284847
OpenAI,2025-2026,interaction_pattern,browser_or_web_interaction,0.20729638009049775,4,9.0,0.023032931121166417
OpenAI,2025-2026,interaction_pattern,human_in_the_loop,0.06012443438914027,4,9.0,0.006680492709904475
OpenAI,2025-2026,modality,text,4.546495487226911,87,9.0,0.5051661652474346
OpenAI,2025-2026,modality,code,2.330180436178888,37,9.0,0.2589089373532098
OpenAI,2025-2026,modality,image,0.8482039374454236,13,9.0,0.09424488193838039
OpenAI,2025-2026,modality,tool_api,0.46137026673017384,13,9.0,0.051263362970019315
OpenAI,2025-2026,modality,desktop_ui,0.26073044602456363,4,9.0,0.028970049558284847
OpenAI,2025-2026,modality,browser_ui,0.20729638009049775,4,9.0,0.023032931121166417
OpenAI,2025-2026,modality,video,0.1651315789473684,3,9.0,0.018347953216374266
OpenAI,2025-2026,modality,document_layout,0.10952650290885585,6,9.0,0.012169611434317317
OpenAI,2025-2026,modality,multimodal_mixed,0.07106496444731739,5,9.0,0.007896107160813043
Google,2025-2026,context_pressure,none,3.3402056277056276,48,4.0,0.8350514069264069
Google,2025-2026,context_pressure,long_context_supporting,0.5496753246753247,8,4.0,0.13741883116883116
Google,2025-2026,context_pressure,medium,0.11011904761904762,2,4.0,0.027529761904761904
Google,2025-2026,domain,General/Commonsense,1.8182900432900433,27,4.0,0.4545725108225108
Google,2025-2026,domain,Coding/Engineering,0.8587662337662337,13,4.0,0.21469155844155843
Google,2025-2026,domain,STEM/Math,0.68241341991342,10,4.0,0.170603354978355
Google,2025-2026,domain,Other Specialized,0.5337662337662338,9,4.0,0.13344155844155844
Google,2025-2026,domain,Visual/Document,0.06926406926406926,2,4.0,0.017316017316017316
Google,2025-2026,domain,Bio/Medicine,0.0125,1,4.0,0.003125
Google,2025-2026,domain,Finance,0.0125,1,4.0,0.003125
Google,2025-2026,domain,Law,0.0125,1,4.0,0.003125
Google,2025-2026,headline_task_mode,Generative Reasoning,2.059145021645022,29,4.0,0.5147862554112554
Google,2025-2026,headline_task_mode,Agentic,0.7904761904761904,13,4.0,0.1976190476190476
Google,2025-2026,headline_task_mode,Multimodal Perception,0.7733225108225108,11,4.0,0.1933306277056277
Google,2025-2026,headline_task_mode,Knowledge Retrieval,0.3770562770562771,5,4.0,0.09426406926406927
Google,2025-2026,interaction_pattern,static_prompt_response,2.7916125541125543,40,4.0,0.6979031385281386
Google,2025-2026,interaction_pattern,terminal_or_codebase_interaction,0.4035714285714286,7,4.0,0.10089285714285715
Google,2025-2026,interaction_pattern,multi_turn_dialogue,0.3377344877344877,6,4.0,0.08443362193362193
Google,2025-2026,interaction_pattern,single_turn_tool_use,0.1525974025974026,4,4.0,0.03814935064935065
Google,2025-2026,interaction_pattern,environment_interaction,0.14384920634920634,5,4.0,0.035962301587301584
Google,2025-2026,interaction_pattern,browser_or_web_interaction,0.0625,1,4.0,0.015625
Google,2025-2026,interaction_pattern,computer_control,0.047619047619047616,1,4.0,0.011904761904761904
Google,2025-2026,interaction_pattern,human_in_the_loop,0.0367063492063492,2,4.0,0.0091765873015873
Google,2025-2026,interaction_pattern,multi_step_planning,0.023809523809523808,1,4.0,0.005952380952380952
Google,2025-2026,modality,text,2.022646103896104,33,4.0,0.505661525974026
Google,2025-2026,modality,code,0.8587662337662337,13,4.0,0.21469155844155843
Google,2025-2026,modality,image,0.5741883116883117,9,4.0,0.14354707792207794
