provider,period,release_count,benchmarked_release_count,models,raw_mention_count,normalized_release_mentions,unique_benchmark_count,avg_benchmarks_per_benchmarked_release,long_context_primary_share,long_context_broad_share,long_context_broad_raw_share,agentic_share,multimodal_share,coding_share,coding_or_agentic_share,coding_and_agentic_share,share_metric_basis
OpenAI,2024,3,3,GPT-4o | o1 | o1-mini,30,3.0,19,10.0,0.023809523809523808,0.023809523809523808,0.03333333333333333,0.125,0.2738095238095238,0.33928571428571425,0.33928571428571425,0.125,release-normalized benchmark mentions
Google,2024,2,2,Gemini 1.5 | Gemini 2.0,16,1.9999999999999998,16,8.0,0.35714285714285715,0.39285714285714285,0.3125,0.03571428571428572,0.42857142857142855,0.14285714285714288,0.17857142857142858,0.0,release-normalized benchmark mentions
Anthropic,2024,3,3,Claude 3 | Claude 3.5 Sonnet | Claude 3.5 Haiku,38,3.0000000000000004,21,12.666666666666666,0.02083333333333333,0.05787037037037036,0.05263157894736842,0.11111111111111109,0.32727920227920226,0.24109686609686606,0.27813390313390307,0.07407407407407406,release-normalized benchmark mentions
OpenAI,2025-2026,10,9,o3-mini | GPT-4.5 | GPT-4.1 | o3 | GPT-5 | GPT-5.1 | GPT-5.2 | GPT-5.3-Codex | GPT-5.4 | GPT-5.5,152,9.0,74,16.88888888888889,0.05256145643142548,0.2511435044716778,0.24342105263157895,0.4496772419760035,0.2851822555382927,0.3813452858344499,0.5200836759273292,0.3109388518831243,release-normalized benchmark mentions
Google,2025-2026,4,4,Gemini 2.5 | Gemini 3.0 | Gemini 3.1 Pro | Gemini 3.1 Flash-Lite,58,4.0,35,14.5,0.07525703463203463,0.22458062770562773,0.22413793103448276,0.30040584415584415,0.3548971861471861,0.32145562770562763,0.469926948051948,0.15193452380952382,release-normalized benchmark mentions
Anthropic,2025-2026,8,8,Claude 3.7 Sonnet | Claude 4 | Claude 4.1 (Opus) | Claude 4.5 (Sonnet) | Claude 4.5 (Haiku) | Claude 4.5 (Opus) | Claude 4.6 (Opus) | Claude 4.7 (Opus),104,7.999999999999999,45,13.0,0.015937019969278036,0.1720885521288747,0.21153846153846154,0.5229663929260704,0.2546913771712159,0.32774282169443464,0.5429356709598645,0.3077735436606405,release-normalized benchmark mentions
